Round,Winner,Loser,Games,YR
Finals,Detroit Pistons,Los Angeles Lakers,5,2004
Eastern Conference Finals,Detroit Pistons,Indiana Pacers,6,2004
Western Conference Finals,Los Angeles Lakers,Minnesota Timberwolves,6,2004
Eastern Conference Semifinals,Detroit Pistons,New Jersey Nets,7,2004
Eastern Conference Semifinals,Indiana Pacers,Miami Heat,6,2004
Western Conference Semifinals,Los Angeles Lakers,San Antonio Spurs,6,2004
Western Conference Semifinals,Minnesota Timberwolves,Sacramento Kings,7,2004
Eastern Conference First Round,Detroit Pistons,Milwaukee Bucks,5,2004
Eastern Conference First Round,Indiana Pacers,Boston Celtics,4,2004
Eastern Conference First Round,Miami Heat,New Orleans Hornets,7,2004
Eastern Conference First Round,New Jersey Nets,New York Knicks,4,2004
Western Conference First Round,Los Angeles Lakers,Houston Rockets,5,2004
Western Conference First Round,Minnesota Timberwolves,Denver Nuggets,5,2004
Western Conference First Round,Sacramento Kings,Dallas Mavericks,5,2004
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,4,2004
Finals,San Antonio Spurs,New Jersey Nets,6,2003
Eastern Conference Finals,New Jersey Nets,Detroit Pistons,4,2003
Western Conference Finals,San Antonio Spurs,Dallas Mavericks,6,2003
Eastern Conference Semifinals,Detroit Pistons,Philadelphia 76ers,6,2003
Eastern Conference Semifinals,New Jersey Nets,Boston Celtics,4,2003
Western Conference Semifinals,Dallas Mavericks,Sacramento Kings,7,2003
Western Conference Semifinals,San Antonio Spurs,Los Angeles Lakers,6,2003
Eastern Conference First Round,Boston Celtics,Indiana Pacers,6,2003
Eastern Conference First Round,Detroit Pistons,Orlando Magic,7,2003
Eastern Conference First Round,New Jersey Nets,Milwaukee Bucks,6,2003
Eastern Conference First Round,Philadelphia 76ers,New Orleans Hornets,6,2003
Western Conference First Round,Dallas Mavericks,Portland Trail Blazers,7,2003
Western Conference First Round,Los Angeles Lakers,Minnesota Timberwolves,6,2003
Western Conference First Round,Sacramento Kings,Utah Jazz,5,2003
Western Conference First Round,San Antonio Spurs,Phoenix Suns,6,2003
Finals,San Antonio Spurs,Detroit Pistons,7,2005
Eastern Conference Finals,Detroit Pistons,Miami Heat,7,2005
Western Conference Finals,San Antonio Spurs,Phoenix Suns,5,2005
Eastern Conference Semifinals,Detroit Pistons,Indiana Pacers,6,2005
Eastern Conference Semifinals,Miami Heat,Washington Wizards,4,2005
Western Conference Semifinals,Phoenix Suns,Dallas Mavericks,6,2005
Western Conference Semifinals,San Antonio Spurs,Seattle SuperSonics,6,2005
Eastern Conference First Round,Detroit Pistons,Philadelphia 76ers,5,2005
Eastern Conference First Round,Indiana Pacers,Boston Celtics,7,2005
Eastern Conference First Round,Miami Heat,New Jersey Nets,4,2005
Eastern Conference First Round,Washington Wizards,Chicago Bulls,6,2005
Western Conference First Round,Dallas Mavericks,Houston Rockets,7,2005
Western Conference First Round,Phoenix Suns,Memphis Grizzlies,4,2005
Western Conference First Round,San Antonio Spurs,Denver Nuggets,5,2005
Western Conference First Round,Seattle SuperSonics,Sacramento Kings,5,2005
Finals,Miami Heat,Dallas Mavericks,6,2006
Eastern Conference Finals,Miami Heat,Detroit Pistons,6,2006
Western Conference Finals,Dallas Mavericks,Phoenix Suns,6,2006
Eastern Conference Semifinals,Detroit Pistons,Cleveland Cavaliers,7,2006
Eastern Conference Semifinals,Miami Heat,New Jersey Nets,5,2006
Western Conference Semifinals,Dallas Mavericks,San Antonio Spurs,7,2006
Western Conference Semifinals,Phoenix Suns,Los Angeles Clippers,7,2006
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,6,2006
Eastern Conference First Round,Detroit Pistons,Milwaukee Bucks,5,2006
Eastern Conference First Round,Miami Heat,Chicago Bulls,6,2006
Eastern Conference First Round,New Jersey Nets,Indiana Pacers,6,2006
Western Conference First Round,Dallas Mavericks,Memphis Grizzlies,4,2006
Western Conference First Round,Los Angeles Clippers,Denver Nuggets,5,2006
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,7,2006
Western Conference First Round,San Antonio Spurs,Sacramento Kings,6,2006
Finals,San Antonio Spurs,Cleveland Cavaliers,4,2007
Eastern Conference Finals,Cleveland Cavaliers,Detroit Pistons,6,2007
Western Conference Finals,San Antonio Spurs,Utah Jazz,5,2007
Eastern Conference Semifinals,Cleveland Cavaliers,New Jersey Nets,6,2007
Eastern Conference Semifinals,Detroit Pistons,Chicago Bulls,6,2007
Western Conference Semifinals,San Antonio Spurs,Phoenix Suns,6,2007
Western Conference Semifinals,Utah Jazz,Golden State Warriors,5,2007
Eastern Conference First Round,Chicago Bulls,Miami Heat,4,2007
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,4,2007
Eastern Conference First Round,Detroit Pistons,Orlando Magic,4,2007
Eastern Conference First Round,New Jersey Nets,Toronto Raptors,6,2007
Western Conference First Round,Golden State Warriors,Dallas Mavericks,6,2007
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,5,2007
Western Conference First Round,San Antonio Spurs,Denver Nuggets,5,2007
Western Conference First Round,Utah Jazz,Houston Rockets,7,2007
Finals,Los Angeles Lakers,Orlando Magic,5,2009
Eastern Conference Finals,Orlando Magic,Cleveland Cavaliers,6,2009
Western Conference Finals,Los Angeles Lakers,Denver Nuggets,6,2009
Eastern Conference Semifinals,Cleveland Cavaliers,Atlanta Hawks,4,2009
Eastern Conference Semifinals,Orlando Magic,Boston Celtics,7,2009
Western Conference Semifinals,Denver Nuggets,Dallas Mavericks,5,2009
Western Conference Semifinals,Los Angeles Lakers,Houston Rockets,7,2009
Eastern Conference First Round,Atlanta Hawks,Miami Heat,7,2009
Eastern Conference First Round,Boston Celtics,Chicago Bulls,7,2009
Eastern Conference First Round,Cleveland Cavaliers,Detroit Pistons,4,2009
Eastern Conference First Round,Orlando Magic,Philadelphia 76ers,6,2009
Western Conference First Round,Dallas Mavericks,San Antonio Spurs,5,2009
Western Conference First Round,Denver Nuggets,New Orleans Hornets,5,2009
Western Conference First Round,Houston Rockets,Portland Trail Blazers,6,2009
Western Conference First Round,Los Angeles Lakers,Utah Jazz,5,2009
Finals,Boston Celtics,Los Angeles Lakers,6,2008
Eastern Conference Finals,Boston Celtics,Detroit Pistons,6,2008
Western Conference Finals,Los Angeles Lakers,San Antonio Spurs,5,2008
Eastern Conference Semifinals,Boston Celtics,Cleveland Cavaliers,7,2008
Eastern Conference Semifinals,Detroit Pistons,Orlando Magic,5,2008
Western Conference Semifinals,Los Angeles Lakers,Utah Jazz,6,2008
Western Conference Semifinals,San Antonio Spurs,New Orleans Hornets,7,2008
Eastern Conference First Round,Boston Celtics,Atlanta Hawks,7,2008
Eastern Conference First Round,Cleveland Cavaliers,Washington Wizards,6,2008
Eastern Conference First Round,Detroit Pistons,Philadelphia 76ers,6,2008
Eastern Conference First Round,Orlando Magic,Toronto Raptors,5,2008
Western Conference First Round,Los Angeles Lakers,Denver Nuggets,4,2008
Western Conference First Round,New Orleans Hornets,Dallas Mavericks,5,2008
Western Conference First Round,San Antonio Spurs,Phoenix Suns,5,2008
Western Conference First Round,Utah Jazz,Houston Rockets,6,2008
Finals,Los Angeles Lakers,Boston Celtics,7,2010
Eastern Conference Finals,Boston Celtics,Orlando Magic,6,2010
Western Conference Finals,Los Angeles Lakers,Phoenix Suns,6,2010
Eastern Conference Semifinals,Boston Celtics,Cleveland Cavaliers,6,2010
Eastern Conference Semifinals,Orlando Magic,Atlanta Hawks,4,2010
Western Conference Semifinals,Los Angeles Lakers,Utah Jazz,4,2010
Western Conference Semifinals,Phoenix Suns,San Antonio Spurs,4,2010
Eastern Conference First Round,Atlanta Hawks,Milwaukee Bucks,7,2010
Eastern Conference First Round,Boston Celtics,Miami Heat,5,2010
Eastern Conference First Round,Cleveland Cavaliers,Chicago Bulls,5,2010
Eastern Conference First Round,Orlando Magic,Charlotte Bobcats,4,2010
Western Conference First Round,Los Angeles Lakers,Oklahoma City Thunder,6,2010
Western Conference First Round,Phoenix Suns,Portland Trail Blazers,6,2010
Western Conference First Round,San Antonio Spurs,Dallas Mavericks,6,2010
Western Conference First Round,Utah Jazz,Denver Nuggets,6,2010
Finals,Dallas Mavericks,Miami Heat,6,2011
Eastern Conference Finals,Miami Heat,Chicago Bulls,5,2011
Western Conference Finals,Dallas Mavericks,Oklahoma City Thunder,5,2011
Eastern Conference Semifinals,Chicago Bulls,Atlanta Hawks,6,2011
